No.,Question_KO,Question_EN,Facet,,is_verified
,한국어로 번역된 문장,원본 문장,"O(), C(), E(), A(), N()",key(-1 or 1),by ioio.org
1,나는 다른 사람들에 대해 관심이 있다.,Am interested in people.,A,1,Y
2,나는 다른 사람들의 감정에 잘 공감한다.,Sympathize with others' feelings.,A,1,Y
3,나는 마음이 여린 편이다.,Have a soft heart.,A,1,Y
4,나는 주변 다른 사람들에게 내 시간을 잘 할애하는 편이다.,Take time out for others.,A,1,Y
5,나는 주변 다른 사람들의 감정을 잘 알아차린다.,Feel others' emotions.,A,1,Y
6,나는 주변 다른 사람들을 편안하게 해준다.,Make people feel at ease.,A,1,Y
7,나는 내가 아는 사람들이 잘 지내고 있는지를 안부를 묻는 편이다.,Inquire about others' well-being.,A,1,Y
8,나는 다른 사람들을 편안하게 하는 방법을 안다.,Know how to comfort others.,A,1,Y
9,나는 아이들을 매우 좋아한다.,Love children.,A,1,Y
10,나는 거의 모든 사람들과 사이가 좋다.,Am on good terms with nearly everyone.,A,1,Y
11,나는 다른 사람들과 한 약속은 지킨다.,Have a good word for everyone.,A,1,Y
12,나는 감사함을 잘 표현한다.,Show my gratitude.,A,1,Y
13,나는 다른 사람들을 돕는 것을 좋아한다.,Think of others first.,A,1,Y
14,나는 다른 사람들을 먼저 고려하며 행동한다.,Love to help others.,A,1,Y
15,나는 다른 사람들의 개인적인 문제에 관심이 없다.,Am not interested in other people's problems.,A,-1,Y
16,나는 다른 사람들의 근심을 거의 알아차리지 못한다.,Feel little concern for others.,A,-1,Y
17,나는 다른 사람들에 대해 별로 관심이 없다.,Am not really interested in others.,A,-1,Y
18,나는 친해지기 어려운 사람이다.,Am hard to get to know.,A,-1,Y
19,나는 다른 사람들의 감정에 무관심한 편이다.,Am indifferent to the feelings of others.,A,-1,Y
20,나는 무슨 일이든 항상 준비를 하는 편이다.,Am always prepared.,C,1,Y
21,나는 세부사항도 잘 챙기려고 이에 신경을 쓰는 편이다.,Pay attention to details.,C,1,Y
22,나는 자질구레한 일들은 금방금방 해치운다.,Get chores done right away.,C,1,Y
23,나는 질서정연한 것을 좋아한다.,Like order.,C,1,Y
24,나는 정해진 일정을 따르는 편이다.,Follow a schedule.,C,1,Y
25,나는 내가 맡은 일에 매우 꼼꼼한 사람이다.,Am exacting in my work.,C,1,Y
26,나는 가능하다면 계획한 대로 일을 처리한다.,Do things according to a plan.,C,1,Y
27,나는 모든 것이 완벽할 때까지 계속 일하는 편이다.,Continue until everything is perfect.,C,1,Y
28,나는 일단 계획을 세우고 나면 그것을 철저히 따른다.,Make plans and stick to them.,C,1,Y
29,나는 질서정연함과 규칙적인 것을 좋아한다.,Love order and regularity.,C,1,Y
30,나는 깔끔하게 잘 정돈된 것을 좋아한다.,Like to tidy up.,C,1,Y
31,나는 내 물건들을 여기저기에 그냥 놓는 편이다.,Leave my belongings around.,C,-1,Y
32,나는 물건들을 어질러 놓는 편이다.,Make a mess of things.,C,-1,Y
33,나는 물건들을 제자리에 되놓은 것을 자주 잊는다.,Often forget to put things back in their proper place.,C,-1,Y
34,내가 맡은 일들을 대충 처리하는 경우도 많다.,Shirk my duties.,C,-1,Y
35,나는 내가 맡은 일을 가급적 뒷전으로 미룰 때가 많다.,Neglect my duties.,C,-1,Y
36,나는 시간을 효과적으로 활용하지 못할 때가 많다.,Waste my time.,C,-1,Y
37,나는 일을 절반 즈음 하다가 끝까지 마무리하지 못하는 경향이 있다.,Do things in a half-way manner.,C,-1,Y
38,나는 내 방이 지저분해도 주로 그냥 두는 편이다.,Find it difficult to get down to work.,C,-1,Y
39,나는 어떤 일이든 그 일을 시작하는 것이 어렵다.,Leave a mess in my room.,C,-1,Y
40,나는 대체적으로 이완된 상태이다.,Am relaxed most of the time.,N,-1,Y
41,나는 거의 우울함을 느끼지 않는 편이다.,Seldom feel blue.,N,-1,Y
42,나는 어떤 일 때문에 정신없이 안절부절 하는 편은 아니다.,Am not easily bothered by things.,N,-1,Y
43,나는 쉽게 신경질적이 되지는 않는다.,Rarely get irritated.,N,-1,Y
44,나는 일단 화가 나도 격노하는 편은 아니다.,Seldom get mad.,N,-1,Y
45,나는 쉽게 스트레스로 지치는 편이다.,Get stressed out easily.,N,1,Y
